fraud_type,bank_account_number,beneficiary_id,original_beneficiary_id,duplicate_beneficiary_id,run_id
shared_account,PK9661806898403754,BEN-000554,,,
shared_account,PK1024554191005761,BEN-002664,,,
shared_account,PK1024554191005761,BEN-004222,,,
shared_account,PK1024554191005761,BEN-003229,,,
shared_account,PK4968143524634620,BEN-001765,,,
shared_account,PK4968143524634620,BEN-000783,,,
shared_account,PK4968143524634620,BEN-000984,,,
shared_account,PK4968143524634620,BEN-001209,,,
shared_account,PK5337262020294211,BEN-000207,,,
shared_account,PK5337262020294211,BEN-004029,,,
shared_account,PK5337262020294211,BEN-004624,,,
shared_account,PK3863850334693176,BEN-001849,,,
shared_account,PK3863850334693176,BEN-000746,,,
shared_account,PK3863850334693176,BEN-002770,,,
shared_account,PK3863850334693176,BEN-002159,,,
shared_account,PK9134233331636692,BEN-001017,,,
shared_account,PK9134233331636692,BEN-003116,,,
shared_account,PK9134233331636692,BEN-000876,,,
shared_account,PK9134233331636692,BEN-003282,,,
shared_account,PK6413064700264293,BEN-000709,,,
shared_account,PK6413064700264293,BEN-002014,,,
shared_account,PK9809469544598029,BEN-001731,,,
shared_account,PK9809469544598029,BEN-002721,,,
shared_account,PK9809469544598029,BEN-001798,,,
shared_account,PK1747367671237698,BEN-000620,,,
shared_account,PK1747367671237698,BEN-000036,,,
shared_account,PK1747367671237698,BEN-000444,,,
shared_account,PK1747367671237698,BEN-001769,,,
shared_account,PK2700737335470323,BEN-002978,,,
shared_account,PK2700737335470323,BEN-001113,,,
shared_account,PK2700737335470323,BEN-003911,,,
shared_account,PK6670201244972967,BEN-000381,,,
shared_account,PK6670201244972967,BEN-004786,,,
shared_account,PK6725144298752954,BEN-003814,,,
shared_account,PK6725144298752954,BEN-003130,,,
shared_account,PK6725144298752954,BEN-000233,,,
shared_account,PK6725144298752954,BEN-003094,,,
shared_account,PK1313332202613926,BEN-001908,,,
shared_account,PK1313332202613926,BEN-004120,,,
shared_account,PK8712319844526362,BEN-001698,,,
shared_account,PK8712319844526362,BEN-003774,,,
shared_account,PK5119979153702058,BEN-003334,,,
shared_account,PK5119979153702058,BEN-002654,,,
shared_account,PK1783555318383489,BEN-004699,,,
shared_account,PK1783555318383489,BEN-003343,,,
shared_account,PK1783555318383489,BEN-000230,,,
shared_account,PK6053228944212101,BEN-000899,,,
shared_account,PK6053228944212101,BEN-001344,,,
orphan_disbursement,PK3166033167337708,BEN-900000,,,
orphan_disbursement,PK7734058581502126,BEN-900001,,,
orphan_disbursement,PK3727826066131157,BEN-900002,,,
orphan_disbursement,PK7483013503473190,BEN-900003,,,
orphan_disbursement,PK7831871235703584,BEN-900004,,,
orphan_disbursement,PK0595495464246656,BEN-900005,,,
orphan_disbursement,PK0858232535344647,BEN-900006,,,
orphan_disbursement,PK3496070100898567,BEN-900007,,,
orphan_disbursement,PK1202148774556136,BEN-900008,,,
orphan_disbursement,PK7279930292443847,BEN-900009,,,
orphan_disbursement,PK9399183668109544,BEN-900010,,,
orphan_disbursement,PK4128934177789213,BEN-900011,,,
orphan_disbursement,PK5613326194470528,BEN-900012,,,
orphan_disbursement,PK8059438175493929,BEN-900013,,,
orphan_disbursement,PK9035667254997729,BEN-900014,,,
orphan_disbursement,PK3820868028970771,BEN-900015,,,
orphan_disbursement,PK8296362321947651,BEN-900016,,,
orphan_disbursement,PK5002482655251799,BEN-900017,,,
orphan_disbursement,PK0023035417404896,BEN-900018,,,
orphan_disbursement,PK8125675243861843,BEN-900019,,,
orphan_disbursement,PK7147235343855270,BEN-900020,,,
orphan_disbursement,PK5341696076869929,BEN-900021,,,
orphan_disbursement,PK8090012691591624,BEN-900022,,,
orphan_disbursement,PK5089784408061630,BEN-900023,,,
orphan_disbursement,PK5593576605221548,BEN-900024,,,
duplicate_identity,,,BEN-001502,BEN-005001,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-002587,BEN-005002,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-002654,BEN-005003,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-001056,BEN-005004,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-000706,BEN-005005,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-000107,BEN-005006,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-000590,BEN-005007,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-002469,BEN-005008,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-002414,BEN-005009,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-001601,BEN-005010,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-002465,BEN-005011,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-000229,BEN-005012,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-000916,BEN-005013,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-000795,BEN-005014,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-003022,BEN-005015,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-003544,BEN-005016,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-001074,BEN-005017,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-003352,BEN-005018,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-001745,BEN-005019,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-001085,BEN-005020,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-000927,BEN-005021,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-003050,BEN-005022,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-001118,BEN-005023,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-000643,BEN-005024,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-004768,BEN-005025,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-000502,BEN-005026,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-004067,BEN-005027,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-000334,BEN-005028,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-004685,BEN-005029,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-000487,BEN-005030,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-001963,BEN-005031,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-000394,BEN-005032,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-004843,BEN-005033,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-004867,BEN-005034,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-001756,BEN-005035,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-002516,BEN-005036,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-003586,BEN-005037,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-004316,BEN-005038,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-004967,BEN-005039,bf46d0f4-541f-4931-aaf0-88565a8778d5
duplicate_identity,,,BEN-002100,BEN-005040,bf46d0f4-541f-4931-aaf0-88565a8778d5
