disbursement_id,beneficiary_id,bank_account_number,amount_pkr,disbursement_cycle,disbursement_date,payment_method,branch_or_agent_code,status,status_clean,disbursement_date_clean,disb_date_parse_failed,amount_pkr_clean,amount_flag,payment_method_missing,data_quality_flags,shared_bank_account_flag,orphaned_beneficiary_flag
DSB-0043103,BEN-013044,PK5013953951257346,"Rs. 6,000",2025-06,2025-06-21,Cash Pickup,BR-224,Pending,Pending,2025-06-21,False,6000.0,False,False,,True,False
DSB-0034525,BEN-010426,PK2452417478003763,"10,000",2025-03,,Mobile Wallet,BR-216,Pending,Pending,,False,10000.0,False,False,,True,False
DSB-0000731,BEN-000209,PK0001364119399982,8000,2025-07,2025-07-10,Cash Pickup,BR-233,pending,Pending,2025-07-10,False,8000.0,False,False,,True,False
DSB-0032220,BEN-009744,PK3588894482717712,"7,500",2025-06,2025-06-23,Mobile Wallet,BR-136,Pending,Pending,2025-06-23,False,7500.0,False,False,,True,False
DSB-0023327,BEN-007012,PK7301275319322026,10000,2025-04,2025-04-23,Cash Pickup,BR-249,Success,Success,2025-04-23,False,10000.0,False,False,,True,False
DSB-0013865,BEN-004178,PK9540306716010623,7500,2025-05,2025-05-02,Bank Transfer,BR-152,Success,Success,2025-05-02,False,7500.0,False,False,,True,False
DSB-0016237,BEN-004895,PK6675597477835774,7500,2025-04,2025-04-02,Cash Pickup,BR-236,Success,Success,2025-04-02,False,7500.0,False,False,,True,False
DSB-0038414,BEN-011636,PK8907711850139326,5000,2025-02,2025-02-16,Mobile Wallet,BR-215,Success,Success,2025-02-16,False,5000.0,False,False,,True,False
DSB-0007408,BEN-002275,PK5293822027815079,5000,2025-03,2025-03-19,Mobile Wallet,BR-247,Success,Success,2025-03-19,False,5000.0,False,False,,True,False
DSB-0044540,BEN-013497,PK2004358900968325,5000,2025-07,2025-07-08,Bank Transfer,BR-167,Success,Success,2025-07-08,False,5000.0,False,False,,True,False
DSB-0022101,BEN-006662,PK8225345309932428,"6,000",2025-02,2025-02-02,Cash Pickup,BR-254,Pending,Pending,2025-02-02,False,6000.0,False,False,,True,False
DSB-0052230,BEN-005495,PK0316596372609921,7500,2025-07,2025-07-20,Bank Transfer,BR-167,SUCCESS,Success,2025-07-20,False,7500.0,False,False,,True,False
DSB-0025503,BEN-007693,PK5915468826505150,8000,2025-05,2025-05-04,Cash Pickup,BR-274,Success,Success,2025-05-04,False,8000.0,False,False,,True,False
DSB-0023922,BEN-007184,PK7471479534119986,8000,2025-04,2025-04-04,Mobile Wallet,BR-236,Succes,Success,2025-04-04,False,8000.0,False,False,,True,False
DSB-0006008,BEN-001841,PK9490822104956560,6000,2025-04,2025-04-28,Cash Pickup,BR-105,Success,Success,2025-04-28,False,6000.0,False,False,,True,False
DSB-0034249,BEN-010339,PK4699126858448457,5000,2025-04,2025-04-23,Cash Pickup,BR-208,Success,Success,2025-04-23,False,5000.0,False,False,,True,False
DSB-0035199,BEN-010638,PK9710632107787323,5000,2025-05,2025-05-12,Bank Transfer,BR-150,Success,Success,2025-05-12,False,5000.0,False,False,,True,False
DSB-0001134,BEN-000324,PK6215674124737523,10000,2025-05,2025-05-03,Mobile Wallet,BR-285,Reversed,Reversed,2025-05-03,False,10000.0,False,False,,True,False
DSB-0017047,BEN-005134,PK0423503409568739,8000,2025-04,,Mobile Wallet,BR-174,Pending,Pending,,False,8000.0,False,False,,True,False
DSB-0032372,BEN-009795,PK3391805262521485,8000,2025-05,2025-05-05,Cash Pickup,BR-160,Success,Success,2025-05-05,False,8000.0,False,False,,True,False
DSB-0004354,BEN-001325,PK0466202235467807,7500,2025-06,2025-06-04,Mobile Wallet,BR-109,Success,Success,2025-06-04,False,7500.0,False,False,,True,False
DSB-0000915,BEN-000269,PK2236040280560090,10000,2025-05,2025-05-09,Mobile Wallet,BR-237,SUCCESS,Success,2025-05-09,False,10000.0,False,False,,True,False
DSB-0030950,BEN-009357,PK8737691622822964,6000,2025-05,2025-05-13,Cash Pickup,BR-112,Success,Success,2025-05-13,False,6000.0,False,False,,True,False
DSB-0036566,BEN-011056,PK7504528633027602,5000,2025-06,2025-06-13,Cash Pickup,BR-200,Success,Success,2025-06-13,False,5000.0,False,False,,True,False
DSB-0042178,BEN-012783,PK9306406312727771,10000,2025-02,2025-02-16,Cash Pickup,BR-237,Success,Success,2025-02-16,False,10000.0,False,False,,True,False
DSB-0040135,BEN-012149,PK4001706530036741,"6,000",2025-05,2025-05-17,Mobile Wallet,BR-132,Pending,Pending,2025-05-17,False,6000.0,False,False,,True,False
DSB-0024743,BEN-007451,PK0443640795266080,7500,2025-02,2025-02-02,Mobile Wallet,BR-251,pending,Pending,2025-02-02,False,7500.0,False,False,,True,False
DSB-0014037,BEN-004221,PK6615728630607615,6000,2025-05,2025-05-05,Cash Pickup,BR-180,Success,Success,2025-05-05,False,6000.0,False,False,,True,False
DSB-0009273,BEN-002845,PK6229340552918981,8000,2025-07,2025-07-03,Mobile Wallet,BR-113,reversed,Reversed,2025-07-03,False,8000.0,False,False,,True,False
DSB-0037722,BEN-011430,PK4733537403801745,10000,2025-02,2025-02-09,Cash Pickup,BR-138,Success,Success,2025-02-09,False,10000.0,False,False,,True,False
DSB-0038662,BEN-011713,PK5427847724752491,8000,2025-05,2025-05-18,Mobile Wallet,BR-144,Pending,Pending,2025-05-18,False,8000.0,False,False,,True,False
DSB-0017427,BEN-005253,PK0189887693754461,"7,500",2025-05,2025-05-22,Bank Transfer,BR-139,Pending,Pending,2025-05-22,False,7500.0,False,False,,True,False
DSB-0049019,BEN-014845,PK0740918496130672,10000,2025-07,2025-07-22,Mobile Wallet,BR-109,Success,Success,2025-07-22,False,10000.0,False,False,,True,False
DSB-0022493,BEN-006762,PK6938707138260092,6000,2025-06,2025-06-15,Mobile Wallet,BR-197,Success,Success,2025-06-15,False,6000.0,False,False,,True,False
DSB-0009137,BEN-002801,PK0906996094923949,6000,2025-05,2025-05-20,Bank Transfer,BR-282,Reversed,Reversed,2025-05-20,False,6000.0,False,False,,True,False
DSB-0053181,BEN-009989,PK8990275961910459,5000,2025-03,2025-03-03,Bank Transfer,BR-248,Reversed,Reversed,2025-03-03,False,5000.0,False,False,,True,False
DSB-0034084,BEN-010298,PK1854122440428164,5000,2025-02,2025-02-26,Cash Pickup,BR-280,Pending,Pending,2025-02-26,False,5000.0,False,False,,True,False
DSB-0051308,BEN-014393,PK1088945149552599,7500,2025-04,2025-04-14,Bank Transfer,BR-280,Success,Success,2025-04-14,False,7500.0,False,False,,True,False
DSB-0041450,BEN-012562,PK9696976208703876,8000,2025-05,2025-05-20,Bank Transfer,BR-156,Pending,Pending,2025-05-20,False,8000.0,False,False,,True,False
DSB-0021542,BEN-006500,PK6806110717396334,8000,2025-02,2025-02-22,Cash Pickup,BR-277,Success,Success,2025-02-22,False,8000.0,False,False,,True,False
DSB-0031792,BEN-009616,PK6820426855689688,6000,2025-05,2025-05-02,Mobile Wallet,BR-188,Success,Success,2025-05-02,False,6000.0,False,False,,True,False
DSB-0002139,BEN-000638,PK3645836279260473,8000,2025-05,2025-05-04,Bank Transfer,BR-215,Success,Success,2025-05-04,False,8000.0,False,False,,True,False
DSB-0025006,BEN-007534,PK4282321767247131,8000,2025-04,2025-04-14,Mobile Wallet,BR-152,Success,Success,2025-04-14,False,8000.0,False,False,,True,False
DSB-0000227,BEN-000060,PK2431985974347203,7500,2025-03,2025-03-02,Mobile Wallet,BR-170,Success,Success,2025-03-02,False,7500.0,False,False,,True,False
DSB-0044425,BEN-013454,PK3489602160646935,5000,2025-06,2025-06-20,Cash Pickup,BR-182,SUCCESS,Success,2025-06-20,False,5000.0,False,False,,True,False
DSB-0010728,BEN-003276,PK7564490387481874,5000,2025-05,2025-05-08,Mobile Wallet,BR-122,Success,Success,2025-05-08,False,5000.0,False,False,,True,False
DSB-0032231,BEN-009750,PK9829053428376577,10000,2025-06,2025-06-04,Mobile Wallet,BR-234,Success,Success,2025-06-04,False,10000.0,False,False,,True,False
DSB-0045876,BEN-013915,PK8499807606520367,6000,2025-07,2025-07-20,Cash Pickup,BR-248,Success,Success,2025-07-20,False,6000.0,False,False,,True,False
DSB-0007702,BEN-002359,PK0614983249226442,10000,2025-04,2025-04-21,Mobile Wallet,BR-162,Reversed,Reversed,2025-04-21,False,10000.0,False,False,,True,False
DSB-0016139,BEN-004866,PK1666310275041774,"Rs. 10,000",2025-05,2025-05-12,Cash Pickup,BR-292,Success,Success,2025-05-12,False,10000.0,False,False,,True,False
DSB-0035147,BEN-010623,PK8367489878580400,7500,2025-05,2025-05-05,Bank Transfer,BR-264,Success,Success,2025-05-05,False,7500.0,False,False,,True,False
DSB-0005252,BEN-001627,PK7936722111077156,5000,2025-06,2025-06-10,Mobile Wallet,BR-226,Reversed,Reversed,2025-06-10,False,5000.0,False,False,,True,False
DSB-0042120,BEN-012759,PK7568024902690015,10000,2025-03,2025-03-24,Cash Pickup,BR-247,Success,Success,2025-03-24,False,10000.0,False,False,,True,False
DSB-0028952,BEN-008749,PK9429812996969170,7500,2025-03,2025-03-25,Mobile Wallet,BR-224,Succes,Success,2025-03-25,False,7500.0,False,False,,True,False
DSB-0038715,BEN-011726,PK2350858652274741,6000,2025-04,2025-04-24,Cash Pickup,BR-176,Pending,Pending,2025-04-24,False,6000.0,False,False,,True,False
DSB-0017566,BEN-005295,PK6440646953804026,10000,2025-06,,Bank Transfer,BR-295,Success,Success,,False,10000.0,False,False,,True,False
DSB-0040340,BEN-012222,PK5309849870262501,"Rs. 7,500",2025-05,2025-05-13,Cash Pickup,BR-160,Success,Success,2025-05-13,False,7500.0,False,False,,True,False
DSB-0031105,BEN-009401,PK0671394927285970,"10,000",2025-06,2025-06-03,Mobile Wallet,BR-122,success,Success,2025-06-03,False,10000.0,False,False,,True,False
DSB-0004537,BEN-001386,PK2410673989480899,10000,2025-05,2025-05-08,Bank Transfer,BR-218,Reversed,Reversed,2025-05-08,False,10000.0,False,False,,True,False
DSB-0000263,BEN-000074,PK2831530094554619,10000,2025-04,,Mobile Wallet,BR-210,Success,Success,,False,10000.0,False,False,,True,False
DSB-0027233,BEN-008259,PK7992378610439817,6000,2025-06,2025-06-12,Cash Pickup,BR-117,Pending,Pending,2025-06-12,False,6000.0,False,False,,False,False
DSB-0005298,BEN-001639,PK3530173776543033,7500,2025-03,2025-03-07,Bank Transfer,BR-218,Success,Success,2025-03-07,False,7500.0,False,False,,True,False
DSB-0024777,BEN-007461,PK7894895959207712,8000,2025-03,2025-03-26,Cash Pickup,BR-172,Success,Success,2025-03-26,False,8000.0,False,False,,True,False
DSB-0004677,BEN-001433,PK1554562255415040,5000,2025-03,2025-03-15,Cash Pickup,BR-237,Success,Success,2025-03-15,False,5000.0,False,False,,True,False
DSB-0051343,BEN-010840,PK2460377420137017,7500,2025-07,2025-07-03,Mobile Wallet,BR-212,Success,Success,2025-07-03,False,7500.0,False,False,,True,False
DSB-0030193,BEN-009133,PK5687752306532695,10000,2025-06,2025-06-10,Bank Transfer,BR-145,Pending,Pending,2025-06-10,False,10000.0,False,False,,True,False
DSB-0002584,BEN-000768,PK6577512697395189,"10,000",2025-04,2025-04-28,Cash Pickup,BR-237,Success,Success,2025-04-28,False,10000.0,False,False,,True,False
DSB-0003713,BEN-001102,PK9865536771060835,"Rs. 8,000",2025-06,2025-06-16,Cash Pickup,BR-226,Pending,Pending,2025-06-16,False,8000.0,False,False,,True,False
DSB-0013069,BEN-003936,PK2503405344294614,8000,2025-05,2025-05-03,Cash Pickup,BR-110,Success,Success,2025-05-03,False,8000.0,False,False,,True,False
DSB-0018904,BEN-005711,PK1936343694796127,5000,2025-06,2025-06-22,Mobile Wallet,BR-291,pending,Pending,2025-06-22,False,5000.0,False,False,,True,False
DSB-0035053,BEN-010586,PK4645779050860024,5000,2025-07,2025-07-27,Mobile Wallet,BR-200,Pending,Pending,2025-07-27,False,5000.0,False,False,,True,False
DSB-0052809,BEN-012616,PK2085817587543611,10000,2025-06,2025-06-26,Cash Pickup,BR-159,Success,Success,2025-06-26,False,10000.0,False,False,,True,False
DSB-0002255,BEN-000670,PK2552859671781608,10000,2025-02,2025-02-26,Bank Transfer,BR-122,Pending,Pending,2025-02-26,False,10000.0,False,False,,True,False
DSB-0037439,BEN-011346,PK9639531773236621,5000,2025-03,2025-03-26,Bank Transfer,BR-264,Success,Success,2025-03-26,False,5000.0,False,False,,True,False
DSB-0017050,BEN-005134,PK0423503409568739,10000,2025-07,2025-07-16,Cash Pickup,BR-165,Success,Success,2025-07-16,False,10000.0,False,False,,True,False
DSB-0052564,BEN-012309,PK1742996290774518,"Rs. 7,500",2025-02,2025-02-01,Cash Pickup,BR-100,pending,Pending,2025-02-01,False,7500.0,False,False,,True,False
DSB-0052919,BEN-012169,PK6986234799337305,10000,2025-07,2025-07-02,Bank Transfer,BR-215,SUCCESS,Success,2025-07-02,False,10000.0,False,False,,True,False
DSB-0006725,BEN-002054,PK4678782949767011,6000,2025-07,2025-07-07,Bank Transfer,BR-195,success,Success,2025-07-07,False,6000.0,False,False,,True,False
DSB-0034014,BEN-010278,PK1662456802295255,5000,2025-04,2025-04-12,Bank Transfer,BR-154,success,Success,2025-04-12,False,5000.0,False,False,,True,False
DSB-0051973,BEN-014780,PK3831383049313933,10000,2025-06,2025-06-11,Bank Transfer,BR-280,Success,Success,2025-06-11,False,10000.0,False,False,,True,False
DSB-0030652,BEN-009257,PK5949641051803520,7500,2025-03,2025-03-04,Bank Transfer,BR-228,Success,Success,2025-03-04,False,7500.0,False,False,,True,False
DSB-0041490,BEN-012574,PK7167837957077298,6000,2025-07,2025-07-26,Cash Pickup,BR-154,Success,Success,2025-07-26,False,6000.0,False,False,,True,False
DSB-0049282,BEN-014932,PK6983310334219991,8000,2025-07,2025-07-18,Bank Transfer,BR-275,Success,Success,2025-07-18,False,8000.0,False,False,,True,False
DSB-0020649,BEN-006257,PK3951645208217378,5000,2025-05,2025-05-15,Cash Pickup,BR-128,Succes,Success,2025-05-15,False,5000.0,False,False,,True,False
DSB-0037485,BEN-011363,PK4204430515523976,6000,2025-04,2025-04-28,Cash Pickup,BR-245,Reversed,Reversed,2025-04-28,False,6000.0,False,False,,True,False
DSB-0005093,BEN-001584,PK4100428525663847,7500,2025-04,2025-04-01,Bank Transfer,BR-201,Pending,Pending,2025-04-01,False,7500.0,False,False,,True,False
DSB-0044416,BEN-013450,PK4564542301050164,10000,2025-03,2025-03-19,Bank Transfer,BR-252,Reversed,Reversed,2025-03-19,False,10000.0,False,False,,True,False
DSB-0014395,BEN-004329,PK4377451016827814,6000,2025-06,2025-06-03,Bank Transfer,BR-161,Reversed,Reversed,2025-06-03,False,6000.0,False,False,,True,False
DSB-0028751,BEN-008692,PK8037352869074095,6000,2025-05,2025-05-06,Mobile Wallet,BR-266,Pending,Pending,2025-05-06,False,6000.0,False,False,,True,False
DSB-0001157,BEN-000328,PK4899808336873609,10000,2025-07,2025-07-22,Bank Transfer,BR-152,Reversed,Reversed,2025-07-22,False,10000.0,False,False,,True,False
DSB-0044584,BEN-013509,PK6270167298856015,8000,2025-02,,Cash Pickup,BR-289,Succes,Success,,False,8000.0,False,False,,True,False
DSB-0043172,BEN-013063,PK9251578111961006,5000,2025-03,2025-03-12,Cash Pickup,BR-100,Success,Success,2025-03-12,False,5000.0,False,False,,True,False
DSB-0050964,BEN-005948,PK9576389866181050,6000,2025-03,2025-03-21,Cash Pickup,BR-122,Pending,Pending,2025-03-21,False,6000.0,False,False,,True,False
DSB-0036313,BEN-010987,PK0429800785873532,6000,2025-06,2025-06-10,Mobile Wallet,BR-258,Success,Success,2025-06-10,False,6000.0,False,False,,True,False
DSB-0045461,BEN-013798,PK0757087353620103,6000,2025-04,2025-04-12,Bank Transfer,BR-249,Pending,Pending,2025-04-12,False,6000.0,False,False,,True,False
DSB-0046984,BEN-014253,PK2989198597268485,6000,2025-04,2025-04-01,Bank Transfer,BR-285,Success,Success,2025-04-01,False,6000.0,False,False,,True,False
DSB-0010361,BEN-003167,PK4961081794494238,7500,2025-04,2025-04-02,Cash Pickup,BR-239,Success,Success,2025-04-02,False,7500.0,False,False,,True,False
DSB-0045434,BEN-013790,PK9179883127886079,5000,2025-03,,Cash Pickup,BR-276,Success,Success,,False,5000.0,False,False,,True,False
DSB-0043090,BEN-013042,PK0849786263963183,8000,2025-04,2025-04-11,Mobile Wallet,BR-143,Success,Success,2025-04-11,False,8000.0,False,False,,True,False
DSB-0004583,BEN-001402,PK1790369302188716,"Rs. 8,000",2025-04,2025-04-27,Cash Pickup,BR-150,Success,Success,2025-04-27,False,8000.0,False,False,,True,False
DSB-0045916,BEN-013934,PK9155189017649891,"8,000",2025-02,2025-02-04,Mobile Wallet,BR-198,Reversed,Reversed,2025-02-04,False,8000.0,False,False,,True,False
DSB-0009027,BEN-002771,PK9218656651220927,5000,2025-06,2025-06-15,Cash Pickup,BR-246,Reversed,Reversed,2025-06-15,False,5000.0,False,False,,True,False
DSB-0022648,BEN-006811,PK1841106156077288,5000,2025-06,2025-06-19,Cash Pickup,BR-296,Success,Success,2025-06-19,False,5000.0,False,False,,True,False
DSB-0043411,BEN-013143,PK3190584828293285,5000,2025-05,2025-05-19,Mobile Wallet,BR-295,Success,Success,2025-05-19,False,5000.0,False,False,,True,False
DSB-0028835,BEN-008713,PK2302262118735208,"Rs. 6,000",2025-05,2025-05-07,Bank Transfer,BR-237,Pending,Pending,2025-05-07,False,6000.0,False,False,,True,False
DSB-0040803,BEN-012362,PK7859329734715848,10000,2025-02,2025-02-16,Bank Transfer,BR-212,Success,Success,2025-02-16,False,10000.0,False,False,,True,False
DSB-0049199,BEN-014906,PK3368850627978523,7500,2025-04,2025-04-16,Cash Pickup,BR-103,Success,Success,2025-04-16,False,7500.0,False,False,,True,False
DSB-0046442,BEN-014087,PK2351099927806598,6000,2025-06,2025-06-17,Bank Transfer,BR-227,Success,Success,2025-06-17,False,6000.0,False,False,,True,False
DSB-0004198,BEN-001256,PK3313504891648334,7500,2025-04,2025-04-13,Mobile Wallet,BR-124,Pending,Pending,2025-04-13,False,7500.0,False,False,,True,False
DSB-0033630,BEN-010153,PK1234174959167808,6000,2025-04,2025-04-21,Cash Pickup,BR-129,Reversed,Reversed,2025-04-21,False,6000.0,False,False,,True,False
DSB-0020855,BEN-006318,PK7204061158246569,7500,2025-03,2025-03-28,Bank Transfer,BR-240,Success,Success,2025-03-28,False,7500.0,False,False,,True,False
DSB-0038611,BEN-011699,PK5710927861528586,5000,2025-06,2025-06-12,Cash Pickup,BR-186,Success,Success,2025-06-12,False,5000.0,False,False,,True,False
DSB-0008492,BEN-002601,PK2122755494335220,5000,2025-06,2025-06-01,Mobile Wallet,BR-205,Success,Success,2025-06-01,False,5000.0,False,False,,True,False
DSB-0019794,BEN-005967,PK7457175943123223,5000,2025-05,2025-05-12,Bank Transfer,BR-165,success,Success,2025-05-12,False,5000.0,False,False,,True,False
DSB-0014201,BEN-004273,PK1477246975015897,"Rs. 6,000",2025-05,2025-05-16,Mobile Wallet,BR-213,Succes,Success,2025-05-16,False,6000.0,False,False,,True,False
DSB-0012405,BEN-003753,PK4067710421519485,7500,2025-07,2025-07-20,Bank Transfer,BR-201,Succes,Success,2025-07-20,False,7500.0,False,False,,True,False
DSB-0031442,BEN-009505,PK0767103608678456,"Rs. 8,000",2025-03,2025-03-12,Bank Transfer,BR-236,Success,Success,2025-03-12,False,8000.0,False,False,,True,False
DSB-0015129,BEN-004546,PK5728011378416683,6000,2025-03,2025-03-14,Bank Transfer,BR-189,Success,Success,2025-03-14,False,6000.0,False,False,,True,False
