beneficiary_id,full_name_beneficiary,father_or_husband_name,gender_beneficiary,date_of_birth_beneficiary,cnic,phone_number,marital_status,household_size,monthly_income_pkr,address_line,city,province,bank_account_number,welfare_program,registration_date,registration_channel,status,gender_clean_beneficiary,status_clean,date_of_birth_clean_beneficiary,dob_parse_failed_beneficiary,registration_date_clean,reg_date_parse_failed,monthly_income_clean,income_flag,phone_missing,address_missing_beneficiary,is_duplicate_row,data_quality_flags_beneficiary,national_id_no,full_name_national,gender_national,date_of_birth_national,address,id_issue_date,id_status,linked_beneficiary_id,gender_clean_national,date_of_birth_clean_national,dob_parse_failed_national,id_issue_date_clean,issue_date_parse_failed,address_missing_national,id_status_missing,no_linked_beneficiary,data_quality_flags_national,cnic_mismatch_flag
BEN-000016,Amanda Turner,Mark Atkinson,Female,2008-01-31,87675-3800027-3,0345-9511293,Single,2,25000.0,0393 Phillip Forge,Hyderabad,Sindh,PK8468359320511378,Cash Transfer Program,2025-10-06,NGO Referral,Active,Female,Active,2008-01-31,False,2025-10-06,False,25000.0,False,False,False,False,,87675-3800027-3,Amanda Turner,Female,2008-01-31,"0393 Phillip Forge, Hyderabad",2020-11-19,Active,BEN-000016,Female,2008-01-31,False,2020-11-19,False,False,False,False,,False
BEN-000017,Robert Young,Anthony Spears,Male,1997-10-16,61659-2337159-2,0303-1891225,Married,3,5000.0,8619 Walker Prairie Suite 493,swat,Khyber Pakhtunkhwa,PK5345820456124500,Flood Relief Assistance,2024-03-24,In-Person Center,Suspended,Male,Suspended,1997-10-16,False,2024-03-24,False,5000.0,False,False,False,False,,61659-2337199-2,robert young,Male,1997-10-16,"Khyber Pakhtunkhwa, Swat, 8619 Walker Prairie Suite 493",2025-02-09,Active,BEN-000017,Male,1997-10-16,False,2025-02-09,False,False,False,False,,True
BEN-000018,Martin Elliott  ,Jose Wilson,Male,1956-08-24,30660-8589195-4,0345-4650453,Divorced,1,0.0,274 Melissa Mall,Abbottabad,Khyber Pakhtunkhwa,PK2019081234314517,Widow & Orphan Support Program,2024-03-14,NGO Referral,Active,Male,Active,1956-08-24,False,2024-03-14,False,0.0,False,False,False,False,,30660-8589195-4,Martin Elliott  ,Male,1956-08-24,"274 Melissa Mall, Abbottabad",2022-05-04,Active,BEN-000018,Male,1956-08-24,False,2022-05-04,False,False,False,False,,False
BEN-000019,Michael Pope,James Perez,Male,1967-10-21,04449-6694300-5,0333-0660281,Married,1,5000.0,156 Hall Gardens Suite 062,Gwadar,Balochistan,PK8541001135171259,Disability Support Program,2024-12-12,Online Portal,Active,Male,Active,1967-10-21,False,2024-12-12,False,5000.0,False,False,False,False,,04449-6694300-5,Michael Pope,Male,1967-10-21,"156 Hall Gardens Suite 062, Gwadar",2017-07-02,Active,BEN-000019,Male,1967-10-21,False,2017-07-02,False,False,False,False,,False
BEN-000020,  Craig Jacobs,Mark Smith,Male,1989-10-30,08800-5251613-9,0320-5859959,Single,3,25000.0,0360 Maria Roads Apt. 190,Mardan,Khyber Pakhtunkhwa,PK9478814230184015,Flood Relief Assistance,2019-03-07,Online Portal,Active,Male,Active,1989-10-30,False,2019-03-07,False,25000.0,False,False,False,False,,08800-1251613-9,Crag Jacobs,Male,1989-10-30,"0360 Maria Rds Apt. 190, Mardan",2018-03-18,Active,BEN-000020,Male,1989-10-30,False,2018-03-18,False,False,False,False,,True
BEN-000021,Alex Coffey,Michael Collins,MALE,1951-06-01,08099-0081835-5,0333-3091102,Widowed,3,5000.0,6008 Newman Mills,Karachi,Sindh,PK2585151835260393,Widow & Orphan Support Program,2021-04-13,In-Person Center,Suspended,Male,Suspended,1951-06-01,False,2021-04-13,False,5000.0,False,False,False,True,is_duplicate_row,08099-0081835-5,Alex Coffey,Male,1951-06-02,"6008 Newman Mills, Karachi",2013-03-28,Active,BEN-000021,Male,1951-06-02,False,2013-03-28,False,False,False,False,,False
BEN-000022,Alex Green,Kevin Smith,Male,2003-01-08,64023-7784814-4,0320-4994565,Single,9,0.0,325 Angela Junction Apt. 815,Sukkur,Sindh,PK4743511263944130,Widow & Orphan Support Program,2025-09-21,NGO Referral,Active,Male,Active,2003-01-08,False,2025-09-21,False,0.0,False,False,False,False,,64023-7784814-4,Alex Green,Male,2003-01-08,"325 Angela Junction Apt. 815, Sukkur, Sindh",2014-07-23,Expired,BEN-000022,Male,2003-01-08,False,2014-07-23,False,False,False,False,,False
BEN-000023,Cheryl Armstrong,Roy Dunn,Female,1987-11-05,18652-4539472-2,0303-0643688,Divorced,7,25000.0,87346 Allen Inlet,Abbottabad,Khyber Pakhtunkhwa,PK3607754844910518,Flood Relief Assistance,2020-08-01,Mobile Registration Van,Active,Female,Active,1987-11-05,False,2020-08-01,False,25000.0,False,False,False,False,,18652-4539472-2,Cheryl armstrong,Female,1987-11-06,"87346 Allen Inlet, Abbottabad, Khyber Pakhtunkhwa",2017-10-15,Active,BEN-000023,Female,1987-11-06,False,2017-10-15,False,False,False,False,,False
BEN-000024,James Jones,Bradley Hanson,MALE,1995-05-06,68678-8480420-7,0345-8528927,Widowed,4,0.0,83708 Heather Unions,Mardan,Khyber Pakhtunkhwa,PK8301594883299640,Cash Transfer Program,2025-05-28,Online Portal,Suspended,Male,Suspended,1995-05-06,False,2025-05-28,False,0.0,False,False,False,False,,68678-8480420-7,James Jones,Male,1995-05-06,"Khyber Pakhtunkhwa, Mardan, 83708 Heather Unions",2012-02-23,Active,BEN-000024,Male,1995-05-06,False,2012-02-23,False,False,False,False,,False
BEN-000025,Rebecca Gonzalez,Brad Mcguire,female,2006-07-30,57108-8464326-8,0345-5508417,Widowed,8,999999.0,59741 Marvin Villages,Sialkot,Punjab,PK6121917839504992,Cash Transfer Program,2025-06-06,Online Portal,Inactive,Female,Inactive,2006-07-30,False,2025-06-06,False,,True,False,False,False,income_flag,57108-8464326-8,  Rebecca Gonzalez,Female,2006-07-30,"59741 Marvin Villages, Sialkot, Punjab",2020-04-21,Expired,BEN-000025,Female,2006-07-30,False,2020-04-21,False,False,False,False,,False
BEN-000026,Katherine Frederick,Justin Phillips,Female,1980-02-07,54758-7645400-8,0320-1701373,Married,6,25000.0,21995 Wallace Lake Suite 926,Larkana,Sindh,PK4702466858906997,Cash Transfer Program,2025-02-19,Mobile Registration Van,Active,Female,Active,1980-02-07,False,2025-02-19,False,25000.0,False,False,False,False,,54758-7645400-8,Kathrine Frederick,Female,1980-02-07,"21995 Wallace Lake Suite 926, Larkana, Sindh",2016-11-21,Active,BEN-000026,Female,1980-02-07,False,2016-11-21,False,False,False,False,,False
BEN-000027,STACIE LAWRENCE,Michael Ramos,Female,1943-04-06,91729-1381309-0,0310-6057464,Widowed,4,15000.0,,Rawalpindi,Punjab,PK4775160291772758,Flood Relief Assistance,2023-11-06,NGO Referral,Active,Female,Active,1943-04-06,False,2023-11-06,False,15000.0,False,False,True,False,address_missing,91729-1381309-0,Stacie Lawrence,Female,06-04-1943,"1898 James Drives Apt. 309, Rawalpindi",2024-08-12,Expired,BEN-000027,Female,1943-04-06,False,2024-08-12,False,False,False,False,,False
BEN-000028,David Soto,George Spencer,Male,2003-12-28,27894-8508226-9,0303-4769772,Married,4,20000.0,5514 Carter Throughway Apt. 902,Sibi,Balochistan,PK1561880411375296,Flood Relief Assistance,2025-09-19,Online Portal,Active,Male,Active,2003-12-28,False,2025-09-19,False,20000.0,False,False,False,False,,27894-8508226-9,David Soto,Male,2003-12-28,"Balochistan, Sibi, 5514 Carter Throughway Apt. 902",2012-03-06,Active,BEN-000028,Male,2003-12-28,False,2012-03-06,False,False,False,False,,False
BEN-000029,Emma Miranda,Adam Warren,Female,10/06/1992,67997-4469285-0,0300-8667228,Married,9,25000.0,2710 Sandy Branch,Larkana,Sindh,PK7398704652524767,Elderly Pension Program,2020-06-24,Online Portal,Active,Female,Active,1992-06-10,False,2020-06-24,False,25000.0,False,False,False,False,,67997-4469285-0,Emma  Miranda,Female,1992-06-10,"Sindh, Larkana, 2710 Sandy Branch",2014-01-05,Active,BEN-000029,Female,1992-06-10,False,2014-01-05,False,False,False,False,,False
BEN-000030,David Bryant,James Carpenter,Male,1975-11-13,46578-2390877-1,,Single,6,20000.0,84205 Julie Extension Suite 572,Sialkot,Punjab,PK4049116813942108,Elderly Pension Program,2025-05-29,In-Person Center,Inactive,Male,Inactive,1975-11-13,False,2025-05-29,False,20000.0,False,True,False,False,phone_missing,46578-2390877-1,David Bryant,Male,1975-11-15,"Punjab, Sialkot, 84205 Julie Extension Suite 572",2019-04-21,Active,BEN-000030,Male,1975-11-15,False,2019-04-21,False,False,False,False,,False
BEN-000031,LINDSAY GONZALEZ,Lucas Lewis,F,2004-09-26,54976-0250540-7,0320-2416733,Married,4,12000.0,114 Frazier Divide,Abbottabad,Khyber Pakhtunkhwa,PK8422827655704002,Disability Support Program,2022-12-06,Mobile Registration Van,Active,Female,Active,2004-09-26,False,2022-12-06,False,12000.0,False,False,False,False,,54976-0250540-7,Lindsay Gonzalez,Female,2004-09-26,"Khyber Pakhtunkhwa, Abbottabad, 114 Frazier Divide",2018-06-11,Active,BEN-000031,Female,2004-09-26,False,2018-06-11,False,False,False,False,,False
BEN-000032,Eric Stark,Gregory Ward,Male,1964-05-20,73807-5933452-7,0300-2923012,Married,2,15000.0,01115 Lori Extensions,Mardan,Khyber Pakhtunkhwa,PK5262975817768441,Cash Transfer Program,2022-11-19,In-Person Center,Inactive,Male,Inactive,1964-05-20,False,2022-11-19,False,15000.0,False,False,False,False,,73807-5933452-7,Eric Stark,Male,1964-05-20,"Khyber Pakhtunkhwa, Mardan, 01115 Lori Extensions",2024-08-22,Active,BEN-000032,Male,1964-05-20,False,2024-08-22,False,False,False,False,,False
BEN-000033,Debra Dunn,Clifford Spence,Female,1963-01-04,68077-1785788-8,0333-1028856,Widowed,1,20000.0,638 Adams Garden Suite 437,Faisalabad,Punjab,PK8982117179206318,Flood Relief Assistance,2019-02-14,Online Portal,Suspended,Female,Suspended,1963-01-04,False,2019-02-14,False,20000.0,False,False,False,False,,68077-1785788-8,Debr Dunn,Female,1963-01-04,"Punjab, Faisalabad, 638 Adams Garden Suite 437",2021-07-16,Expired,BEN-000033,Female,1963-01-04,False,2021-07-16,False,False,False,False,,False
BEN-000034,LISA BROWN,Benjamin Ramirez,Female,1956-12-03,23914-1879257-5,0310-5538232,Widowed,8,0.0,744 Sanchez Drive Apt. 721,Lahore,Punjab,PK9296444075635372,Disability Support Program,2023-09-14,In-Person Center,Suspended,Female,Suspended,1956-12-03,False,2023-09-14,False,0.0,False,False,False,False,,23914-1879257-5,Lisa Brown,Female,1956-12-03,"744 Sanchez Drive Apt. 721, Lahore",2017-03-01,Active,BEN-000034,Female,1956-12-03,False,2017-03-01,False,False,False,False,,False
BEN-000035,Lauren Scott,Alex Lewis,Female,1971-10-30,23983-5702574-9,0320-3558552,Widowed,0,20000.0,,Lahore,Punjab,PK7309122379728401,Widow & Orphan Support Program,2019-02-07,NGO Referral,Inactive,Female,Inactive,1971-10-30,False,2019-02-07,False,20000.0,False,False,True,False,address_missing,23983-5702574-9,Lauren Scott,Female,1971-10-30,"8262 Lisa Pass, Lahore, Punjab",2023-02-01,Active,BEN-000035,Female,1971-10-30,False,2023-02-01,False,False,False,False,,False
BEN-000036,Stephanie Gutierrez,Matthew Campbell,Female,1950-12-06,07535-8143745-6,0333-0637539,Single,4,25000.0,18933 Crawford Shore Suite 385,Multan,Punjab,PK4353996124981480,Widow & Orphan Support Program,2019-01-17,Online Portal,Active,Female,Active,1950-12-06,False,2019-01-17,False,25000.0,False,False,False,False,,,,,,,,,,,,,,,,,,,False
BEN-000037,Emma Howell,Joshua Galvan,Female,1983-08-01,62965-3974106-6,0302-6469054,Widowed,8,8000.0,53266 Adam Fords Suite 938,Larkana,Sindh,PK7760069863443171,Elderly Pension Program,2023-01-21,NGO Referral,Inactive,Female,Inactive,1983-08-01,False,2023-01-21,False,8000.0,False,False,False,False,,,,,,,,,,,,,,,,,,,False
BEN-000038,Jonathan Anderson,Jeffrey White,Male,1966-07-07,18823-7277872-2,,Divorced,7,0.0,1996 Bautista Fort Apt. 386,rawalpindi,Punjab,PK4866069909129031,Widow & Orphan Support Program,2021-10-19,In-Person Center,Active,Male,Active,1966-07-07,False,2021-10-19,False,0.0,False,True,False,False,phone_missing,18823-7277872-2,Jonathan  Anderson,Male,1966-07-07,"1996 Bautista Fort Apt. 386, Rawalpindi",2017-02-26,Active,BEN-000038,Male,1966-07-07,False,2017-02-26,False,False,False,False,,False
BEN-000039,Lisa Davis MD,Johnathan Jenkins,Female,1983-03-14,88121-6682803-2,0301-2241938,Divorced,9,25000.0,940 Sanchez Landing Apt. 069,Mardan,Khyber Pakhtunkhwa,PK8926836431583462,Elderly Pension Program,2023-03-23,In-Person Center,Inactive,Female,Inactive,1983-03-14,False,2023-03-23,False,25000.0,False,False,False,False,,88121-6682803-2,Lisa Davis MD,Female,1983-03-14,"940 Sanchez Landing Apt. 069, Mardan, Khyber Pakhtunkhwa",2024-11-27,Active,BEN-000039,Female,1983-03-14,False,2024-11-27,False,False,False,False,,False
BEN-000040,Mr. Richard Santiago,William Henry,Male,20/09/1956,64434-0130049-2,0302-5989701,Single,8,20000.0,9949 Stevens Manor,Larkana,Sindh,PK9482653608179017,Cash Transfer Program,2025-09-02,NGO Referral,Suspended,Male,Suspended,1956-09-20,False,2025-09-02,False,20000.0,False,False,False,False,,64434-0130049-2,Mr. Richard Santiago,Male,1956-09-20,"9949 Stevens Manor, Larkana, Sindh",2024-01-29,Active,BEN-000040,Male,1956-09-20,False,2024-01-29,False,False,False,False,,False
BEN-000041,LISA MAY,Michael Maynard,Female,2003-11-07,46960-3143191-8,0301-9105628,Married,6,25000.0,2883 Benjamin Motorway Apt. 317,Multan,Punjab,PK6548403698009464,Cash Transfer Program,2025-01-23,In-Person Center,Active,Female,Active,2003-11-07,False,2025-01-23,False,25000.0,False,False,False,False,,46960-3143191-8,Lisa May,Female,2003-11-07,"2883 Benjamin Motorway Apt. 317, Multan",2018-08-29,Active,BEN-000041,Female,2003-11-07,False,2018-08-29,False,False,False,False,,False
BEN-000042,Julie Jensen,Jonathan Martinez,Female,1945-07-11,93137-0413966-4,0301-5822649,Single,2,0.0,16871 Whitney Cliffs,Hyderabad,Sindh,PK9560561594924597,Flood Relief Assistance,2023-06-23,Mobile Registration Van,Inactive,Female,Inactive,1945-07-11,False,2023-06-23,False,0.0,False,False,False,False,,93137-0413966-4,Julie Jensen,Female,1945-07-11,"16871 Whitney Cliffs, Hyderabad, Sindh",2013-05-04,Active,BEN-000042,Female,1945-07-11,False,2013-05-04,False,False,False,False,,False
BEN-000043,Linda Cordova,Phillip Gordon,Female,1952-06-10,52763-7350856-9,0333-5469769,Married,7,8000.0,56513 Edwin Mission Suite 731,Lahore,Punjab,PK3250530242266377,Flood Relief Assistance,2021-11-23,Mobile Registration Van,Active,Female,Active,1952-06-10,False,2021-11-23,False,8000.0,False,False,False,False,,52763-7350556-9,Lidna Cordova,Female,1952-06-10,"56513 Edwin Mission Suite 731, Lahore",2022-06-22,Active,BEN-000043,Female,1952-06-10,False,2022-06-22,False,False,False,False,,True
BEN-000044,MARIO HARRIS,Russell Long,Male,1974-09-01,39150-2645515-5,0301-3339738,Married,3,0.0,,Lahore,Punjab,PK5541938165883299,Elderly Pension Program,2025-10-05,In-Person Center,Suspended,Male,Suspended,1974-09-01,False,2025-10-05,False,0.0,False,False,True,False,address_missing,39150-2645515-5,Mario Harrsi,Male,1974-09-01,"Punjab, Lahore, 316 Goodman Loop",2024-11-11,Active,BEN-000044,Male,1974-09-01,False,2024-11-11,False,False,False,False,,False
BEN-000045,Christopher Richardson  ,Aaron Winters,MALE,01/02/1961,78002-6996906-6,0301-6784533,Married,1,12000.0,0683 Tiffany Parkway Suite 174,Karachi,Sindh,PK8581201989697137,Disability Support Program,2022-10-27,Online Portal,Active,Male,Active,1961-02-01,False,2022-10-27,False,12000.0,False,False,False,False,,78002-6996906-6,Christopher Richardson,Male,1961-02-01,"0683 Tiffany Parkway Suite 174, Karachi, Sindh",2020-12-17,Active,BEN-000045,Male,1961-02-01,False,2020-12-17,False,False,False,False,,False
BEN-000046,Kristen Scott,Gregory Nguyen,FEMALE,1985-11-09,01529-1603755-8,,Divorced,9,0.0,967 Rivera Place,Sukkur,Sindh,PK2049549511528793,Elderly Pension Program,2024-03-30,Online Portal,Active,Female,Active,1985-11-09,False,2024-03-30,False,0.0,False,True,False,False,phone_missing,01529-1603755-8,Kristen  Scott,Female,1985-11-09,"967 Rivera Place, Sukkur, Sindh",2020-10-04,Active,BEN-000046,Female,1985-11-09,False,2020-10-04,False,False,False,False,,False
BEN-000047,Ashley Larson,Fernando Ford,Female,1991-06-01,14854-5290268-9,0320-7413433,Single,9,20000.0,8345 Brian Station,Sibi,Balochistan,PK0576732896241772,Disability Support Program,2021-04-03,Mobile Registration Van,Suspended,Female,Suspended,1991-06-01,False,2021-04-03,False,20000.0,False,False,False,False,,14854-5290268-9,Ashley Larson,Female,01-06-1991,,2015-06-29,Active,BEN-000047,Female,1991-06-01,False,2015-06-29,False,True,False,False,address_missing,False
BEN-000048,Michael Williams,David Blevins,Male,14/01/2003,65421-6318031-9,0300-8207969,Single,7,20000.0,1830 White Stream,GWADAR,Balochistan,PK3197450986673469,Flood Relief Assistance,2025-05-24,Online Portal,Inactive,Male,Inactive,2003-01-14,False,2025-05-24,False,20000.0,False,False,False,False,,65421-6318031-9,Michael Williams,Male,2003-01-14,"Balochistan, Gwadar, 1830 White Stream",2018-02-25,Active,BEN-000048,Male,2003-01-14,False,2018-02-25,False,False,False,False,,False
BEN-000049,KATHRYN ROGERS,Jacob Miller,Female,1942-04-20,86243-7146640-3,0303-5615667,Widowed,5,12000.0,230 Stewart Glen,Quetta,Balochistan,PK8262471708245424,Disability Support Program,2022-07-29,Mobile Registration Van,Active,Female,Active,1942-04-20,False,2022-07-29,False,12000.0,False,False,False,False,,,,,,,,,,,,,,,,,,,False
BEN-000050,Ashley Hampton,Christopher Patel,Female,1966-04-30,74820-4732717-2,0301-8541905,Married,2,,219 Justin Lodge,Quetta,Balochistan,PK3317483484372950,Elderly Pension Program,2024-11-11,In-Person Center,Active,Female,Active,1966-04-30,False,2024-11-11,False,,True,False,False,False,income_flag,74820-4732717-2,Ashley Hampton,Female,1966-04-30,"219 Justin Lodge, Quetta",2019-05-12,Active,BEN-000050,Female,1966-04-30,False,2019-05-12,False,False,False,False,,False
BEN-000051,Kelsey  Singleton,Samuel Murphy,Female,1958-03-13,74861-4271495-2,0333-7929171,Single,2,12000.0,,Bahawalpur,Punjab,PK0366690242077059,Disability Support Program,2019-05-17,NGO Referral,suspended,Female,Suspended,1958-03-13,False,2019-05-17,False,12000.0,False,False,True,False,address_missing,74861-4271495-2,Kelsey Singleton,Female,1958-03-13,"9988 Emily Common Suite 926, Bahawalpur",2024-08-30,Active,BEN-000051,Female,1958-03-13,False,2024-08-30,False,False,False,False,,False
BEN-000052,Jeffrey Jackson,Daniel Brown,Male,1983-02-05,14343-0652314-2,0310-4214575,Divorced,8,20000.0,11315 Lisa Landing Suite 328,Larkana,Sindh,PK5792580438901932,Flood Relief Assistance,2024-09-14,Mobile Registration Van,Active,Male,Active,1983-02-05,False,2024-09-14,False,20000.0,False,False,False,False,,14343-0652314-2,Jeffrey Jackson,Male,1983-02-05,"Sindh, Larkana, 11315 Lisa Landing Suite 328",2016-03-13,Active,BEN-000052,Male,1983-02-05,False,2016-03-13,False,False,False,False,,False
